Team1,Team2,ML1,ML2,Winner
Detroit,Miami,-280,240,1
SanAntonio,Atlanta,-200,175,2
Portland,Minnesota,210,-250,1
Toronto,LALakers,-380,320,1
NewOrleans,Cleveland,350,-420,2
OklahomaCity,Milwaukee,100,-120,2
Utah,Brooklyn,-280,240,1
Orlando,NewYork,155,-175,1
Washington,Houston,290,-350,2
Charlotte,Chicago,-120,100,2
Denver,GoldenState,1200,-3000,2
Phoenix,LAClippers,170,-190,2
Minnesota,Philadelphia,-190,170,2
Utah,Boston,185,-215,2
Indiana,Detroit,175,-200,1
Toronto,SanAntonio,215,-255,2
Washington,Dallas,-110,-110,2
Miami,Phoenix,180,-210,2
Sacramento,Denver,155,-175,1
Memphis,LALakers,-210,180,2
Atlanta,Orlando,-130,110,1
OklahomaCity,Charlotte,115,-135,2
Milwaukee,NewYork,-170,150,1
Chicago,Cleveland,170,-190,1
Memphis,LAClippers,-125,105,2
Portland,GoldenState,1200,-3000,2
Miami,Sacramento,280,-340,1
Brooklyn,Indiana,450,-600,2
Utah,Toronto,175,-200,2
Charlotte,Detroit,180,-210,2
OklahomaCity,Houston,330,-400,2
Atlanta,NewOrleans,100,-120,1
Phoenix,Dallas,185,-215,1
LALakers,Portland,230,-270,2
SanAntonio,Denver,-300,250,1
Minnesota,Washington,170,-190,2
Houston,Orlando,-200,175,1
Cleveland,Brooklyn,-1100,700,1
Philadelphia,Boston,525,-750,2
NewYork,Milwaukee,190,-220,1
Miami,LALakers,120,-140,2
Memphis,GoldenState,750,-1200,1
LAClippers,Sacramento,-140,120,1
NewYork,Indiana,260,-310,2
NewOrleans,Boston,220,-260,2
Utah,Minnesota,-190,170,1
Denver,OklahomaCity,300,-360,2
Toronto,Chicago,-120,100,2
Atlanta,Dallas,-125,105,1
Charlotte,SanAntonio,550,-800,2
Philadelphia,Brooklyn,-105,-115,1
Miami,LAClippers,375,-450,2
Washington,Milwaukee,-120,100,1
Houston,Toronto,-135,115,1
Utah,Memphis,120,-140,2
Cleveland,Phoenix,-420,350,1
GoldenState,Sacramento,-850,575,1
Orlando,LALakers,120,-140,2
Detroit,Portland,150,-170,1
NewOrleans,NewYork,140,-160,1
Dallas,Minnesota,165,-185,2
OklahomaCity,Chicago,-120,100,1
Chicago,Washington,600,-900,2
Boston,Toronto,190,-220,2
Atlanta,Brooklyn,-380,320,1
Charlotte,Houston,400,-500,2
Milwaukee,SanAntonio,450,-600,1
Cleveland,Utah,-120,100,2
Portland,LALakers,-140,120,1
Miami,GoldenState,1000,-2000,2
Detroit,Sacramento,130,-150,2
NewYork,Philadelphia,-130,110,2
Washington,Boston,195,-230,2
Memphis,OklahomaCity,165,-185,2
Houston,Minnesota,-160,140,2
Cleveland,Portland,-240,200,2
Orlando,LAClippers,475,-650,2
Indiana,Denver,-180,160,2
NewOrleans,Brooklyn,120,-140,1
Chicago,NewYork,130,-150,2
LALakers,SanAntonio,950,-1800,2
Dallas,Phoenix,-140,120,1
Detroit,GoldenState,900,-1600,2
Charlotte,Philadelphia,-210,180,2
Brooklyn,Toronto,1100,-2500,2
Boston,Atlanta,140,-160,1
Miami,Milwaukee,300,-360,2
Memphis,Houston,290,-350,1
OklahomaCity,Minnesota,-130,110,2
Orlando,Portland,260,-315,1
Detroit,Utah,500,-700,2
Cleveland,Sacramento,-300,250,1
LALakers,LAClippers,600,-900,2
NewOrleans,Chicago,145,-165,2
SanAntonio,Phoenix,-1100,700,2
Philadelphia,Washington,450,-600,2
Orlando,Utah,550,-800,2
NewYork,Toronto,450,-600,2
Milwaukee,Atlanta,155,-175,2
Minnesota,Dallas,-110,-110,2
Houston,Brooklyn,-1800,950,1
Chicago,Memphis,340,-410,1
OklahomaCity,Sacramento,-125,105,1
Detroit,LALakers,-130,110,1
Atlanta,NewYork,-135,115,1
Portland,Washington,150,-170,2
Philadelphia,Milwaukee,340,-410,1
NewOrleans,Indiana,180,-210,2
Orlando,Denver,200,-240,2
Charlotte,Boston,190,-220,2
Cleveland,GoldenState,320,-380,2
Utah,Phoenix,-270,230,1
OklahomaCity,LAClippers,320,-380,2
Toronto,Brooklyn,-420,350,1
Houston,Miami,-320,265,2
Dallas,Chicago,180,-210,1
Minnesota,SanAntonio,700,-1100,2
Denver,LALakers,-115,-105,1
Portland,Charlotte,200,-240,2
Memphis,Washington,115,-135,2
Toronto,Philadelphia,-230,195,2
NewYork,Boston,400,-500,1
Orlando,NewOrleans,200,-240,2
Atlanta,Detroit,-140,120,2
Milwaukee,Houston,220,-260,2
Indiana,Sacramento,125,-145,1
OklahomaCity,GoldenState,1000,-2000,2
Phoenix,Cleveland,600,-900,2
Dallas,Miami,110,-130,2
Washington,NewYork,-125,105,1
Denver,SanAntonio,750,-1200,2
Minnesota,LAClippers,-125,105,1
Portland,Philadelphia,-135,115,2
Toronto,Charlotte,100,-120,2
Milwaukee,Orlando,-160,140,2
Brooklyn,NewOrleans,450,-600,1
Chicago,Atlanta,150,-170,2
Sacramento,Memphis,290,-350,2
GoldenState,Houston,-210,180,1
Utah,Dallas,-220,190,1
Indiana,LALakers,-170,150,2
Portland,Boston,270,-330,1
Washington,Detroit,105,-125,2
Brooklyn,Charlotte,650,-1000,2
Philadelphia,Atlanta,450,-600,2
Milwaukee,Miami,-130,110,2
Phoenix,NewYork,180,-210,1
Houston,Memphis,-110,-110,1
SanAntonio,Cleveland,140,-160,1
Sacramento,Chicago,240,-280,2
Indiana,Utah,250,-300,2
LAClippers,Denver,175,-200,2
GoldenState,Orlando,-1400,800,1
LALakers,Dallas,210,-250,2
Phoenix,Toronto,650,-1000,1
Denver,Minnesota,145,-165,2
Washington,Charlotte,210,-250,1
Sacramento,Detroit,250,-300,1
SanAntonio,Brooklyn,-420,350,1
GoldenState,Miami,-800,550,2
LAClippers,Atlanta,260,-310,1
Houston,Milwaukee,-215,185,2
Cleveland,NewOrleans,-550,425,2
NewYork,Indiana,200,-240,1
OklahomaCity,Utah,175,-200,1
Boston,Washington,-105,-115,2
Chicago,Orlando,-155,135,1
SanAntonio,Toronto,115,-135,1
LAClippers,Philadelphia,-195,175,2
Minnesota,Phoenix,-125,105,1
Utah,Denver,105,-125,2
Sacramento,Cleveland,575,-850,1
Houston,Boston,-175,155,2
Miami,Brooklyn,-145,125,1
Philadelphia,Milwaukee,600,-900,1
Atlanta,Chicago,-120,100,1
Toronto,Memphis,180,-210,2
GoldenState,Charlotte,-600,450,1
OklahomaCity,NewOrleans,-125,105,1
NewYork,Dallas,125,-145,2
LALakers,Portland,310,-370,2
Indiana,Minnesota,135,-155,1
Dallas,OklahomaCity,375,-450,2
Phoenix,Denver,245,-290,2
LALakers,Utah,900,-1600,2
Houston,Philadelphia,-300,250,1
Sacramento,Indiana,165,-185,2
Milwaukee,Toronto,200,-240,2
Brooklyn,Cleveland,1600,-6000,2
Orlando,Boston,270,-330,2
Charlotte,NewYork,-115,-105,2
Washington,Atlanta,135,-155,1
Miami,Chicago,260,-310,1
SanAntonio,NewOrleans,-320,265,2
Memphis,Portland,105,-125,2
Sacramento,Charlotte,235,-295,1
Detroit,Miami,-150,130,2
